epoch (ms),time (05:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.52613E+12,2018-05-12T16.54.14.500,287.749,6.22,7.561,-7.439
1.52613E+12,2018-05-12T16.54.14.554,287.803,3.537,4.939,-8.902
1.52613E+12,2018-05-12T16.54.14.554,287.803,1.22,0.671,-7.378
1.52613E+12,2018-05-12T16.54.14.554,287.803,4.207,0.305,-6.22
1.52613E+12,2018-05-12T16.54.14.625,287.874,8.232,5.061,-3.72
1.52613E+12,2018-05-12T16.54.14.625,287.874,11.585,10.244,-1.768
1.52613E+12,2018-05-12T16.54.14.625,287.874,13.415,10.671,-1.22
1.52613E+12,2018-05-12T16.54.14.668,287.917,10.854,6.159,-1.89
1.52613E+12,2018-05-12T16.54.14.668,287.917,7.378,2.622,-2.744
1.52613E+12,2018-05-12T16.54.14.668,287.917,5.488,2.439,0.366
1.52613E+12,2018-05-12T16.54.14.739,287.988,7.561,7.622,2.805
1.52613E+12,2018-05-12T16.54.14.739,287.988,14.085,17.866,0
1.52613E+12,2018-05-12T16.54.14.739,287.988,17.805,26.037,-2.744
1.52613E+12,2018-05-12T16.54.14.781,288.03,14.146,25.732,-3.171
1.52613E+12,2018-05-12T16.54.14.781,288.03,8.171,17.988,-0.671
1.52613E+12,2018-05-12T16.54.14.781,288.03,6.89,10.427,2.317
1.52613E+12,2018-05-12T16.54.14.828,288.077,8.476,5.549,3.72
1.52613E+12,2018-05-12T16.54.14.828,288.077,8.963,2.5,2.5
1.52613E+12,2018-05-12T16.54.14.828,288.077,7.805,-0.244,0.122
1.52613E+12,2018-05-12T16.54.14.969,288.218,3.963,-3.902,0.305
1.52613E+12,2018-05-12T16.54.14.969,288.218,-0.061,-3.78,0.732
