elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
23.767,33.902,-13.841,-43.171
23.767,32.683,-19.817,-45
23.767,39.817,-18.171,-45.671
23.806,52.988,-12.378,-39.268
23.806,67.561,-7.683,-22.561
23.806,77.622,-4.451,1.463
23.827,83.659,-0.61,27.561
23.827,88.354,2.683,52.439
23.827,88.232,4.817,76.159
23.857,81.402,5.976,98.232
23.857,69.085,6.768,115.61
23.857,57.866,13.293,126.281
23.887,53.11,20.976,134.878
23.887,54.207,25.488,143.232
23.887,56.341,26.463,150.488
23.919,57.256,27.622,154.329
23.919,58.415,30.122,154.329
23.919,54.146,29.268,150.854
23.947,43.537,29.085,144.817
23.947,37.744,34.207,139.695
23.947,33.963,40,137.256
23.977,24.573,43.232,135.793
23.977,8.232,44.024,131.585
23.977,-8.598,41.951,120.61
24.007,-20.915,39.268,100.793
24.007,-24.329,37.561,71.098
24.007,-26.585,32.561,61.463
24.045,-21.646,32.134,72.256
24.045,-13.476,35.915,82.256
24.045,-10.427,44.268,94.39
24.067,-9.939,54.878,109.329
24.067,-7.988,66.829,123.354
24.067,-4.939,77.927,134.39
24.097,-2.866,87.134,141.098
24.097,-2.927,95.732,141.402
24.097,-9.268,102.439,131.463
24.127,-21.524,104.939,96.951
24.127,-26.707,104.817,84.634
24.127,-25.671,97.988,69.878
24.157,-19.878,85.793,43.537
24.157,-11.037,70.488,22.012
24.157,-0.671,54.817,4.817
24.18,9.146,41.22,-4.939
24.18,18.476,29.207,-3.963
24.18,26.402,21.037,1.89
24.21,31.524,19.085,5.061
24.211,32.805,19.451,3.354
24.211,29.268,19.695,-0.671
24.241,22.561,19.512,-2.866
24.241,15.549,18.232,-0.915
24.241,14.085,15.915,2.561
24.269,18.78,12.256,2.805
24.269,21.829,7.561,-0.854
24.269,20.122,2.378,-7.317
24.307,17.805,-1.646,-15.366
24.307,15.549,-4.146,-23.171
24.307,12.927,-6.159,-29.39
24.33,12.073,-8.232,-33.902
24.33,12.927,-9.634,-35.793
24.33,14.207,-10.244,-34.695
24.367,14.878,-9.756,-31.402
24.367,14.39,-9.268,-26.89
24.367,13.841,-9.939,-22.805
24.389,15.488,-11.037,-20.061
24.389,20.244,-11.402,-18.598
24.389,25.976,-11.524,-19.756
24.42,28.415,-12.927,-24.634
24.42,29.39,-15.305,-32.561
24.421,29.817,-17.561,-40.976
24.45,28.415,-20.366,-48.293
24.45,28.049,-23.049,-53.598
24.45,32.561,-26.768,-56.037
24.479,38.902,-31.524,-55.793
24.48,40.976,-34.939,-50.854
24.48,40.549,-35.61,-41.037
24.509,41.159,-33.232,-29.207
24.51,40.793,-28.232,-20.183
24.51,37.195,-23.537,-15.854
24.539,30.976,-20.61,-16.89
24.539,23.171,-17.744,-21.89
24.539,16.585,-13.598,-28.476
24.57,13.415,-12.988,-33.963
24.57,12.805,-16.28,-38.537
24.57,9.939,-19.085,-44.268
24.599,4.756,-19.817,-52.134
24.599,-0.366,-20.488,-60.793
24.599,-5.793,-21.707,-68.11
24.63,-9.634,-20.427,-72.012
24.63,-11.646,-17.012,-70.305
24.63,-16.768,-13.293,-65.793
24.659,-25,-9.329,-62.927
24.659,-31.037,-5.244,-60.915
24.66,-34.268,0.976,-54.512
24.689,-39.512,10.427,-40
24.689,-48.537,21.402,-18.354
24.689,-57.805,32.134,3.354
24.712,-62.866,42.317,18.171
24.712,-63.78,46.159,23.963
24.712,-61.768,42.134,22.195
24.742,-57.866,33.537,15.976
24.742,-52.378,22.195,9.756
24.742,-45.976,10.671,5.793
24.773,-36.098,4.268,2.317
24.773,-24.756,2.927,1.951
24.773,-17.073,2.134,9.39
24.803,-14.451,3.293,21.037
24.803,-15.366,8.049,29.024
24.803,-17.744,10.854,32.561
24.832,-21.098,10.671,33.171
24.832,-24.939,9.451,31.463
24.832,-26.585,7.683,26.951
24.862,-26.341,4.634,20.305
24.863,-20.366,2.317,15.366
24.863,-10.671,-1.463,17.012
24.892,-2.805,-7.195,23.72
24.892,6.22,-12.073,30.732
24.892,15.244,-15.854,36.037
24.922,18.841,-17.561,40.244
24.922,18.476,-17.683,44.207
24.922,17.073,-16.341,46.524
24.952,15.122,-14.207,46.829
24.952,9.817,-14.451,44.695
24.952,0.976,-16.341,35.793
24.982,-12.073,-15.488,16.341
24.982,-22.988,-12.744,-9.451
24.982,-22.561,-13.171,-26.585
25.012,-14.939,-18.232,-33.232
25.012,-3.476,-25.854,-37.134
25.012,12.317,-32.622,-38.598
25.051,25.122,-36.585,-35.305
25.051,30.366,-37.622,-27.927
25.051,34.268,-34.451,-19.634
25.072,39.756,-30.305,-12.195
25.072,42.073,-28.659,-6.28
25.072,37.683,-27.439,-2.622
25.11,32.134,-26.707,-3.902
25.11,32.683,-29.146,-11.402
25.11,40,-33.598,-22.378
25.132,47.683,-40.488,-32.378
25.132,50.671,-46.89,-40.488
25.132,50.244,-49.39,-45.122
25.163,47.073,-48.171,-42.988
25.163,44.512,-44.207,-35.427
25.163,43.476,-39.39,-27.195
25.193,40.488,-36.037,-19.756
25.193,34.817,-35.366,-13.963
25.193,30.549,-36.951,-11.28
25.214,27.012,-42.012,-11.585
25.214,21.89,-48.598,-14.939
25.214,16.951,-52.866,-20.549
25.244,11.89,-53.293,-25.427
25.245,8.11,-49.39,-26.951
25.245,2.012,-43.11,-23.72
25.28,-5.061,-33.537,-17.317
25.28,-10.671,-19.024,-10.427
25.28,-16.89,-1.22,-3.659
25.305,-23.232,16.768,3.171
25.305,-28.537,30.183,11.585
25.305,-27.256,34.939,22.195
25.335,-17.073,26.768,35.671
25.335,-2.317,11.098,51.768
25.335,11.585,-3.902,63.598
25.365,15.427,-14.756,64.756
25.365,10.671,-20.305,55.671
25.365,6.341,-23.293,37.5
25.397,4.512,-27.439,12.927
25.397,5.061,-30.366,-10.366
25.397,5.244,-32.317,-28.476
25.425,5.183,-35.244,-40.122
25.425,7.378,-40.61,-46.098
25.425,11.159,-48.841,-46.524
25.463,14.817,-58.659,-42.561
25.463,20.671,-68.354,-38.171
25.463,30.122,-74.512,-36.829
25.485,43.902,-72.744,-40.549
25.485,59.024,-66.037,-51.707
25.485,66.22,-63.11,-63.537
25.514,66.768,-57.317,-69.024
25.514,66.28,-44.451,-70.244
25.515,63.171,-32.134,-69.878
25.546,58.354,-24.207,-71.037
25.546,56.402,-18.963,-74.024
25.546,55.366,-15.915,-75.488
25.576,56.037,-11.22,-74.573
25.576,57.561,-5.122,-73.232
25.576,56.402,2.5,-72.378
25.604,54.39,10.061,-72.195
25.605,54.634,12.744,-70.671
25.605,54.939,14.085,-66.829
25.642,53.841,21.159,-62.378
25.642,53.171,31.524,-61.037
25.642,52.378,39.207,-61.89
25.664,50.549,42.073,-59.085
25.664,50,42.134,-49.512
25.666,50,41.22,-38.963
25.695,49.207,40.244,-32.744
25.696,46.463,39.451,-30.488
25.696,37.805,40.854,-30.183
25.717,30,44.207,-26.22
25.717,29.512,47.378,-16.89
25.717,33.232,50.061,-3.354
25.754,35.915,51.341,9.939
25.754,38.476,52.866,17.5
25.754,38.963,53.659,20
25.785,37.012,52.256,21.159
25.786,35.671,51.037,22.317
25.786,33.78,51.646,26.646
25.807,30.305,52.256,35.122
25.808,27.988,49.329,42.073
25.808,22.256,45.61,41.89
25.837,11.037,44.817,37.134
25.837,0.793,46.89,32.134
25.838,-5.183,47.134,30.366
25.867,-7.195,43.902,33.78
25.867,-4.146,37.988,40.671
25.867,1.829,31.707,43.537
25.898,6.585,26.768,32.5
25.898,8.293,25.488,19.512
25.898,5.244,26.037,11.341
25.927,3.902,25.061,6.646
25.927,6.768,22.134,3.171
25.927,8.963,19.085,0
25.957,7.927,18.232,-2.378
25.957,4.634,19.634,-4.634
25.957,-2.134,22.317,-4.573
25.987,-9.695,26.707,-0.244
25.987,-15.183,33.659,4.329
25.987,-17.805,36.28,6.585
26.024,-14.451,30.183,7.744
26.024,-8.232,17.927,7.073
26.024,-1.341,6.707,4.939
26.047,3.659,2.195,2.439
26.047,3.049,4.451,-2.378
26.047,-1.402,11.159,-9.207
26.077,-7.012,20.183,-15
26.077,-13.415,30.366,-17.988
26.077,-20.488,39.146,-18.659
26.107,-26.707,43.841,-18.476
26.107,-27.805,44.329,-19.268
26.107,-19.024,37.317,-18.659
26.137,-3.598,19.451,-9.573
26.137,12.866,-3.598,4.024
26.137,30.549,-23.902,7.073
26.167,39.268,-33.171,-5.976
26.168,33.841,-27.927,-22.439
26.169,23.171,-12.866,-26.585
26.198,13.902,2.683,-15.488
26.198,7.439,12.805,0.854
26.198,5.244,17.256,11.89
26.221,3.902,22.317,22.683
26.221,-1.037,27.927,32.378
26.221,-6.951,31.037,37.561
26.249,-10.305,34.756,41.341
26.25,-14.817,41.463,47.134
26.25,-17.561,47.744,52.988
26.279,-13.659,50.183,54.146
26.28,-7.988,53.049,55.793
26.28,1.037,66.28,66.829
26.31,9.085,72.561,78.598
26.31,14.207,68.598,82.439
26.31,17.5,60.915,79.451
26.34,21.585,57.317,73.963
26.34,15.061,56.768,71.098
26.34,0.915,60,67.5
26.369,-16.037,65.732,59.878
26.369,-32.134,68.72,46.89
26.369,-46.098,67.195,34.024
26.407,-56.829,64.024,26.402
26.407,-64.512,59.39,24.695
26.407,-65.122,53.476,27.195
26.429,-61.159,44.878,31.098
26.429,-55.122,42.012,36.098
26.43,-51.707,45.549,42.195
26.46,-44.146,50.244,45.793
26.46,-30.61,56.159,48.415
26.46,-23.537,58.78,51.402
26.489,-26.951,56.768,52.5
26.49,-32.439,52.561,51.646
26.49,-34.695,47.378,51.341
26.52,-31.707,42.988,52.012
26.52,-24.085,37.134,53.902
26.52,-16.646,29.512,55.793
26.549,-10.915,21.159,56.524
26.55,-6.646,14.085,55.732
26.55,-3.659,8.598,54.085
26.579,-1.524,3.476,52.256
26.58,0.305,-1.524,50.732
26.58,1.524,-6.098,49.573
26.609,1.585,-9.207,48.659
26.61,-1.037,-9.329,47.195
26.61,-5.366,-6.768,46.037
26.639,-8.171,-1.89,45.549
26.64,-7.866,4.268,45.793
26.64,-6.28,9.573,46.829
