elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
4.379,-0.61,-8.537,2.622
4.379,0.671,-9.268,3.232
4.379,1.951,-8.293,3.293
4.403,2.866,-6.28,3.11
4.403,3.598,-2.988,3.354
4.404,3.902,0.244,3.354
4.432,3.963,3.171,2.866
4.432,3.72,5.488,2.195
4.432,3.415,5.976,1.768
4.462,3.902,4.512,2.256
4.462,3.902,2.073,1.89
4.462,3.659,0.122,1.341
4.492,2.622,-0.732,0.549
4.492,1.402,-1.098,0
4.492,0.244,-0.976,-0.305
4.529,-1.037,-0.366,-0.793
4.53,-1.768,0,-0.976
4.53,-1.402,0.488,-1.829
4.561,-0.183,1.951,-2.134
4.561,1.28,3.293,-3.171
4.561,2.134,4.329,-3.78
4.582,3.11,3.72,-2.927
4.582,2.927,1.159,-2.012
4.582,2.439,-0.183,-2.012
4.619,1.585,-1.22,-2.134
4.619,0.976,-2.256,-1.524
4.619,0.61,-2.439,-0.915
4.642,0.061,-2.134,-0.793
4.642,-0.427,-1.951,-0.915
4.642,-0.122,-1.829,-0.488
4.672,0.183,-1.829,-0.061
4.672,-0.183,-1.646,0.366
4.672,-0.854,-1.098,0.427
4.702,-1.707,-0.366,0.305
4.703,-2.317,0.122,0.305
4.703,-2.988,0.366,0.488
4.733,-4.207,0.549,0.183
4.733,-4.817,0.61,0.183
4.733,-5,0.976,0.122
4.769,-5.305,1.524,-0.549
4.769,-5.244,2.134,-1.098
4.769,-4.756,3.232,-1.585
4.798,-4.512,4.085,-1.951
4.798,-4.512,4.024,-1.768
4.798,-4.39,3.659,-1.768
4.822,-4.024,3.232,-1.89
4.822,-3.11,2.988,-1.768
4.822,-2.195,2.683,-1.463
4.845,-1.707,2.744,-0.915
4.845,-1.951,2.622,-1.037
4.845,-2.195,2.866,-1.951
4.875,-2.378,2.195,-2.5
4.875,-1.585,0.366,-1.707
4.875,-0.61,0.61,-1.159
4.912,-0.488,0.976,-1.646
4.912,0.244,1.585,-2.195
4.912,1.463,2.073,-2.317
4.934,2.256,2.439,-2.256
4.934,1.951,2.5,-2.561
4.934,1.524,2.378,-2.378
4.964,0.488,2.256,-2.378
4.965,-0.122,2.195,-2.317
4.965,-0.061,2.317,-2.622
4.996,-0.427,2.195,-3.293
4.997,-1.037,0.488,-3.72
4.997,-0.732,-1.585,-3.11
5.024,0.183,-1.402,-2.927
5.025,0.732,-0.122,-3.72
5.025,0.976,0.305,-4.268
5.054,1.159,0.061,-4.024
5.054,1.22,-0.305,-3.232
5.054,0.61,0,-3.354
5.084,0.061,-0.061,-3.72
5.085,0.854,-0.305,-3.049
5.085,2.012,-0.793,-2.866
5.115,1.768,-2.073,-3.415
5.115,1.707,-3.963,-2.866
5.115,1.28,-4.878,-2.805
5.145,1.22,-4.207,-2.622
5.145,1.22,-1.89,-2.744
5.145,0.427,0.549,-3.232
5.175,-0.366,1.585,-3.354
5.175,-0.061,0.854,-3.049
5.175,0.732,-0.488,-2.988
5.205,0.915,-1.89,-2.927
5.205,0.854,-2.5,-2.683
5.205,0.488,-1.524,-3.049
5.234,-0.305,-0.305,-2.866
5.235,-0.549,-0.366,-2.073
5.235,-0.366,0.488,-2.378
5.265,0.244,1.037,-2.866
5.265,1.585,0.061,-2.256
5.265,2.683,-0.732,-1.341
5.302,3.049,-0.61,-1.159
5.302,2.927,-0.183,-1.159
5.302,2.5,0.183,-1.22
5.324,1.585,0.549,-1.463
5.326,1.22,0.793,-1.341
5.326,0.732,0.488,-1.037
5.347,0.549,-0.366,-0.854
5.347,0.915,-0.976,-0.732
5.347,1.037,-1.098,-0.854
5.377,1.707,-0.488,-1.098
5.377,2.622,0.915,-1.402
5.377,2.927,2.073,-1.646
5.407,3.415,2.256,-1.463
5.407,3.476,1.89,-1.28
5.407,3.354,0.305,-0.732
5.437,2.378,-1.22,-0.305
5.437,0.976,-1.463,-0.61
5.437,-0.061,-1.829,-0.854
5.467,0.305,-2.622,0.366
5.467,0.61,-2.866,1.829
5.467,0.183,-1.22,0.854
5.497,-0.549,0.732,-0.671
5.497,-0.793,1.037,-0.854
5.497,-0.183,0.976,-0.427
5.527,0.061,0.61,-0.488
5.527,0.488,-0.244,-0.366
5.527,0.61,-1.402,-0.305
5.557,0.488,-2.012,0.122
5.557,0.183,-1.951,0.183
5.557,-0.183,-1.28,0.061
5.587,-0.549,-0.305,-0.305
5.587,-0.854,0.61,-0.549
5.587,-0.732,1.159,-0.976
5.617,-0.793,0.671,-1.098
5.617,-0.671,0.366,-0.488
5.617,-1.159,-0.549,-0.671
5.648,-1.341,-1.707,-0.244
5.648,-0.732,-1.28,0.183
5.648,-0.488,-0.366,-0.061
5.677,0.244,0.427,0.305
5.678,1.098,1.159,0.488
5.678,1.28,0.732,-0.061
5.715,0.793,-1.159,-0.671
5.715,0.244,-3.537,0
5.715,0.671,-2.683,0.549
5.745,-1.585,-0.793,-0.366
5.745,-2.012,0.854,-1.341
5.745,-0.244,1.037,-1.524
5.775,1.159,0.976,-1.89
5.775,-0.183,-0.244,-1.951
5.775,-2.195,-1.402,-1.646
5.797,-2.866,-0.61,-1.768
5.797,-1.463,0.854,-1.585
5.797,0.061,2.256,-1.585
5.827,0.427,2.195,-2.134
5.827,0.976,0.427,-2.073
5.827,1.402,-1.098,-1.829
5.85,1.524,-1.646,-1.28
5.85,0.915,-1.098,-1.707
5.85,-0.488,-0.61,-1.951
5.88,-0.427,0.305,-1.524
5.88,0.427,0.671,-1.159
5.88,0.549,-0.427,-1.585
5.917,0.488,-1.159,-1.951
5.917,0.122,-0.671,-2.073
5.917,-0.488,-0.671,-2.378
5.939,-0.549,-0.732,-2.744
5.94,-1.28,-3.902,-3.537
5.94,-1.463,-10.061,-2.988
5.97,-0.183,-8.171,-3.415
5.97,-1.28,-6.585,-3.902
5.97,-1.341,-4.695,-3.11
5.999,-0.427,-2.134,-2.622
5.999,2.256,1.341,-2.317
5.999,3.232,3.232,-2.378
6.029,1.829,4.207,-2.683
6.029,0.122,3.963,-2.683
6.029,0.183,2.134,-2.622
6.06,2.195,0.488,-2.744
6.06,3.963,-0.61,-2.866
6.06,4.207,-1.341,-2.744
6.091,3.232,-1.524,-2.622
6.091,3.598,-0.366,-2.805
6.091,5.305,-0.305,-2.622
6.135,5.549,0.488,-2.134
6.135,3.72,1.768,-1.951
6.135,2.622,2.073,-1.89
6.15,2.073,1.28,-1.829
6.15,1.707,0.122,-1.646
6.151,2.073,-1.037,-1.22
6.18,2.927,-1.22,-0.671
6.18,3.598,-0.549,-0.366
6.18,3.537,-0.061,-0.305
6.21,3.232,0.854,-1.098
6.21,3.78,1.28,-1.829
6.21,3.72,0.793,-2.012
6.24,2.073,0.549,-1.89
6.24,0.915,0.488,-1.707
6.24,1.585,-0.732,-1.646
6.27,1.951,-1.22,-1.707
6.27,0.488,-0.366,-1.89
6.27,-0.488,0,-1.829
6.299,-0.061,-0.183,-1.829
6.299,0.427,-0.976,-1.951
6.299,0.427,-1.341,-2.134
6.33,-0.549,-1.829,-2.134
6.33,-1.098,-2.317,-2.073
6.33,-0.183,-1.585,-2.256
6.352,0.549,-0.61,-2.195
6.352,0.122,-0.061,-1.951
6.352,-0.244,0.122,-1.829
6.383,0.244,0.61,-1.829
6.383,0.427,0.976,-2.073
6.383,-0.122,0.854,-2.317
6.413,-0.671,0.61,-2.195
6.413,-1.159,0.305,-2.256
6.413,-1.28,-0.549,-1.768
6.442,-0.671,-1.159,-1.159
6.442,0.305,-1.341,-0.732
6.442,0.671,-2.195,-0.732
6.472,0.305,-2.561,-1.098
6.472,-0.183,-1.159,-1.463
6.472,-0.366,-0.305,-1.463
6.509,-0.61,-0.122,-1.28
6.51,-0.854,0.366,-1.098
6.51,-0.793,-0.488,-0.793
6.54,-0.732,-2.012,-0.61
6.54,-0.915,-2.683,-0.671
6.54,-0.549,-2.561,-0.61
6.562,0.305,-1.707,-0.488
6.562,0.122,-0.488,-0.366
6.562,-0.61,0,0
6.593,-0.732,-0.366,0
6.593,-0.854,-0.915,-0.488
6.593,-1.463,-0.793,-1.098
6.622,-2.5,-0.61,-1.402
6.622,-3.11,0.122,-1.524
6.622,-3.049,1.585,-1.646
6.652,-3.049,2.134,-1.585
6.652,-2.744,1.585,-1.341
6.652,-1.646,0.793,-1.28
6.682,-0.549,-0.366,-1.037
6.682,-1.28,-0.915,-0.61
6.682,-1.829,-1.037,-0.366
6.712,-1.463,-1.159,0.122
6.712,-1.341,-1.402,0.183
6.712,-2.073,-1.037,-0.305
6.742,-2.683,-0.244,-0.854
6.742,-3.232,0.854,-1.159
6.742,-3.841,2.012,-0.976
6.772,-3.902,2.5,-0.671
6.773,-2.744,2.073,-0.488
6.773,-1.341,0.854,-0.488
6.802,-0.732,0.183,-0.61
6.802,0.915,1.768,-1.768
6.802,2.805,1.037,-1.707
6.833,3.171,0.915,-1.159
6.833,1.098,3.415,-0.61
6.833,-0.793,3.72,-0.244
6.855,0.427,2.317,-0.61
6.855,1.463,1.22,-1.159
6.855,0.366,1.28,-0.976
6.884,-0.61,0.671,-0.732
6.884,-0.854,-0.61,-1.28
6.884,-1.524,-0.976,-1.951
6.914,-2.561,-0.427,-2.5
6.914,-2.622,0.915,-2.744
6.914,-2.561,2.195,-2.561
6.944,-2.073,3.293,-2.256
6.944,0.061,2.5,-2.012
6.944,2.134,0,-1.707
6.974,2.5,-1.402,-1.585
6.974,1.89,-2.012,-1.707
6.974,1.524,-1.159,-1.951
7.004,0.488,0.732,-1.89
7.004,-1.159,2.317,-1.707
7.006,-2.134,2.866,-1.524
7.034,-1.28,1.829,-1.159
7.034,-0.61,0.122,-0.488
7.034,-1.646,-0.061,-0.183
7.064,-3.232,0.915,0.183
7.064,-4.146,1.524,0.61
7.064,-3.415,2.134,1.159
7.095,-1.646,2.256,1.585
7.095,-1.829,1.768,1.768
7.095,-4.146,1.28,1.707
7.125,-6.341,1.037,1.707
7.125,-6.402,-0.305,2.378
7.125,-4.512,-1.28,3.049
7.155,-4.024,-0.854,3.598
7.155,-4.634,0.427,3.902
7.155,-4.573,1.524,3.963
7.184,-3.293,1.22,4.085
7.184,-1.402,-0.305,3.902
7.184,0.244,-2.012,3.78
7.214,-0.061,-3.415,4.085
7.214,-1.585,-3.72,4.451
7.214,-2.744,-2.256,4.756
7.245,-4.085,-0.427,5.427
7.245,-3.841,0.488,6.098
7.245,-1.951,0.427,6.402
7.282,0.549,0.061,6.463
7.282,2.683,1.159,6.341
7.282,3.902,3.415,6.89
7.305,5.427,6.098,6.28
7.305,7.988,4.573,5.366
7.305,10.854,2.744,5
7.334,11.28,2.622,4.878
7.335,12.195,2.378,5.244
7.335,13.72,2.134,5.854
7.365,14.268,3.293,5.732
7.365,14.451,5.427,5.488
7.365,12.683,6.707,5.61
7.387,11.707,7.744,5.427
7.387,10.671,7.012,5.305
7.387,8.78,3.841,5.427
7.417,7.805,0.793,5.915
7.417,5.366,-1.28,6.28
7.417,1.341,-2.744,7.927
7.447,-1.341,-0.793,8.415
7.447,-3.78,-1.463,9.329
7.447,-6.28,-2.5,9.939
7.477,-7.134,-1.159,9.085
7.477,-6.707,-1.037,7.561
7.479,-6.463,-0.061,5.854
7.508,-8.232,3.171,4.024
7.508,-10.305,5.854,2.622
7.508,-10.122,7.439,1.524
7.537,-6.768,7.561,0.671
7.537,-4.512,5.854,0.488
7.537,-4.329,4.939,1.159
7.567,-6.402,5.183,2.195
7.567,-8.659,5.61,3.232
7.567,-8.537,6.22,3.902
7.598,-7.256,3.963,4.39
7.599,-4.573,1.585,5
7.599,-2.317,0.854,5.793
7.628,-1.28,2.195,6.707
7.628,-1.28,3.476,8.171
7.628,0.976,4.634,8.963
7.657,5.854,5,9.695
7.657,9.634,6.341,11.098
7.657,11.098,9.573,11.829
7.687,9.817,10.61,12.012
7.687,7.927,11.524,11.707
7.687,4.512,9.756,11.22
7.717,3.963,6.951,12.5
7.717,8.11,5.183,14.024
7.717,9.573,5.793,14.512
7.747,9.939,8.049,16.341
7.747,12.134,8.78,17.927
7.747,12.5,11.402,18.232
7.777,12.378,12.683,19.695
7.777,12.5,9.939,20.549
7.777,10.122,8.354,21.037
7.808,7.073,6.646,22.744
7.808,6.037,3.049,24.695
7.808,7.744,0.732,26.341
